类别：所有类别

周,genshin: (全球)
2020-09-06,2
2020-09-13,3
2020-09-20,5
2020-09-27,78
2020-10-04,100
2020-10-11,79
2020-10-18,65
2020-10-25,56
2020-11-01,42
2020-11-08,50
2020-11-15,41
2020-11-22,36
2020-11-29,42
2020-12-06,39
2020-12-13,33
2020-12-20,50
2020-12-27,46
2021-01-03,38
2021-01-10,41
2021-01-17,37
2021-01-24,36
2021-01-31,45
2021-02-07,42
2021-02-14,38
2021-02-21,36
2021-02-28,42
2021-03-07,37
2021-03-14,42
2021-03-21,37
2021-03-28,35
2021-04-04,39
2021-04-11,41
2021-04-18,35
2021-04-25,44
2021-05-02,40
2021-05-09,35
2021-05-16,38
2021-05-23,42
2021-05-30,43
2021-06-06,55
2021-06-13,45
2021-06-20,42
2021-06-27,44
2021-07-04,49
2021-07-11,47
2021-07-18,70
2021-07-25,64
2021-08-01,55
2021-08-08,54
2021-08-15,57
2021-08-22,50
2021-08-29,68
2021-09-05,58
2021-09-12,48
2021-09-19,47
2021-09-26,47
2021-10-03,48
2021-10-10,52
2021-10-17,39
2021-10-24,35
2021-10-31,43
2021-11-07,42
2021-11-14,36
2021-11-21,44
2021-11-28,35
2021-12-05,35
2021-12-12,40
2021-12-19,38
2021-12-26,56
2022-01-02,74
2022-01-09,54
2022-01-16,44
2022-01-23,58
2022-01-30,65
2022-02-06,51
2022-02-13,60
2022-02-20,45
2022-02-27,41
2022-03-06,41
2022-03-13,52
2022-03-20,40
2022-03-27,55
2022-04-03,48
2022-04-10,45
2022-04-17,43
2022-04-24,36
2022-05-01,35
2022-05-08,31
2022-05-15,45
2022-05-22,36
2022-05-29,46
2022-06-05,41
2022-06-12,37
2022-06-19,39
2022-06-26,46
2022-07-03,43
2022-07-10,66
2022-07-17,56
2022-07-24,45
2022-07-31,45
2022-08-07,47
2022-08-14,45
2022-08-21,58
2022-08-28,49
2022-09-04,43
2022-09-11,47
2022-09-18,41
2022-09-25,59
2022-10-02,49
2022-10-09,43
2022-10-16,37
2022-10-23,47
2022-10-30,55
2022-11-06,40
2022-11-13,39
2022-11-20,42
2022-11-27,34
2022-12-04,49
2022-12-11,42
2022-12-18,40
2022-12-25,47
2023-01-01,52
2023-01-08,41
2023-01-15,49
2023-01-22,45
2023-01-29,40
2023-02-05,44
2023-02-12,46
2023-02-19,38
2023-02-26,41
2023-03-05,34
2023-03-12,32
2023-03-19,36
2023-03-26,38
2023-04-02,35
2023-04-09,42
2023-04-16,34
2023-04-23,32
2023-04-30,32
2023-05-07,31
2023-05-14,28
2023-05-21,28
